source_path,destination_path,classification,status,sha256,action,reason,error
/root/workspace/_backups/20260304_033000_v62_fullpack_complete/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/root/workspace/_backups/20260304_033000_v62_fullpack_complete/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,Identity/Core,legacy/deprecated,1b6840ae4fb926e6c5b8d7b28e936a7c1663fb953cd4e33356474c86dad70942,copied,legacy_or_conflict,
/root/workspace/_backups/20260304_034500_v62_post_fullpack_state/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/root/workspace/_backups/20260304_034500_v62_post_fullpack_state/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,Identity/Core,legacy/deprecated,1b6840ae4fb926e6c5b8d7b28e936a7c1663fb953cd4e33356474c86dad70942,copied,legacy_or_conflict,
/root/workspace/_backups/20260304_074000_sev0_triple_fix/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/root/workspace/_backups/20260304_074000_sev0_triple_fix/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,Identity/Core,legacy/deprecated,1b6840ae4fb926e6c5b8d7b28e936a7c1663fb953cd4e33356474c86dad70942,copied,legacy_or_conflict,
/root/workspace/_backups/20260304_075500_sev0_post_fix_state/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/root/workspace/_backups/20260304_075500_sev0_post_fix_state/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,Identity/Core,legacy/deprecated,1b6840ae4fb926e6c5b8d7b28e936a7c1663fb953cd4e33356474c86dad70942,copied,legacy_or_conflict,
/root/workspace/_backups/20260304_080000_whatsapp_secret_active/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/root/workspace/_backups/20260304_080000_whatsapp_secret_active/_truth/STELLCODEX_MASTER_PROMPT_v8.0.md,Identity/Core,legacy/deprecated,1b6840ae4fb926e6c5b8d7b28e936a7c1663fb953cd4e33356474c86dad70942,copied,legacy_or_conflict,
/root/workspace/_backups/20260304_225931_ui_ai_megafix/snapshots/knowledge/manuals/STELLCODEX_MASTER_PROMPT_v8.0.md,/root/workspace/audit/STELL_SYSTEM_CORE/09_legacy_archive/root/workspace/_backups/20260304_225931_ui_ai_megafix/snapshots/knowledge/manuals/STELLCODEX_MASTER_PROMPT_v8.0.md,Identity/Core,legacy/deprecated,dc13fae631ee088c36f3be8f5209cb6d9ed93f1626f3678b5357a4b7e8cb4dd2,copied,legacy_or_conflict,
/root/workspace/_jobs/done/AUTO_20260305_134913_compileall_failed.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/workspace/_jobs/done/AUTO_20260305_134913_compileall_failed.md,Task prompts,active,af9e28aea8f6660169a104ca56c0f218a9f05bced03baec449febfd60cb08a5d,copied,active,
/root/workspace/_jobs/done/AUTO_20260305_135918_compileall_failed.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/workspace/_jobs/done/AUTO_20260305_135918_compileall_failed.md,Task prompts,active,0adeebb978cc94cebdedc98411453af6e6a534500630eb2a70954d6963108d90,copied,active,
/root/workspace/_jobs/done/AUTO_20260305_140923_compileall_failed.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/workspace/_jobs/done/AUTO_20260305_140923_compileall_failed.md,Task prompts,active,8ef05b521d9627c46c3815ec253c9aa97548debc3516a987649b7e69f0a611f9,copied,active,
/root/workspace/_jobs/done/AUTO_20260305_141927_compileall_failed.md,/root/workspace/audit/STELL_SYSTEM_CORE/06_tasks/root/workspace/_jobs/done/AUTO_20260305_141927_compileall_failed.md,Task prompts,active,3cdf5edda7d774b951976a5dbbf2ec14f5b0d9597276a030cc3a7c9a70b39881,copied,active,
